Sample name,Proportion classified,Precision reads,Precision taxa,Mean Precision,Recall reads,Recall taxa,Mean Recall,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
strain_sample_22-kraken2_refseqV205_100GB-0.10,0.131946701,0.917348103,0.151515152,0.534431627,0.130423265,0.75,0.440211632,0.228377179,0.25210084,10888936,43.9075514,10.34849096,0.771622821,0.337393236,0.559584941,2.006185081,102.5,0.663674774,0.302621385,0.022935206,99,0.24023901
strain_sample_22-kraken2_refseqV205_100GB-0.15,0.026028425,0.956298772,0.35483871,0.655568741,0.026820314,0.55,0.288410157,0.052177266,0.431372549,12038924,36.31387896,12.09996839,0.947822734,0.267499974,0.600058504,1.978197558,31,0.632464036,0.39929737,0.080656958,31,0.241774908
strain_sample_22-kraken2_refseqV205_100GB-0.20,0.003662257,0.964660035,0.642857143,0.803758589,0.003806672,0.45,0.226903336,0.007583418,0.529411765,12309841,27.31988413,16.98425857,0.992416582,0.313563717,0.554468331,1.78080336,14,0.66765961,0.467727174,0.160322097,14,0.268497591
strain_sample_22-kraken2_refseqV205_100GB-0.25,0.000557883,0.98572775,0.875,0.930363875,0.000592546,0.35,0.175296273,0.001184381,0.5,12347935,15.06738772,19.57346259,0.998815619,0.359092027,0.587584603,1.748280897,8,0.642801567,0.582760299,0.303092467,8,0.25059219
strain_sample_22-kraken2_refseqV205_100GB-0.30,4.27E-05,0.973637961,0.75,0.861818981,4.48E-05,0.15,0.07502242,8.97E-05,0.25,12354611,17.5008508,15.21885805,0.999910325,0.900616828,0.104898366,0.387379887,4,0.951108311,0.193689944,0.279297893,4,0.125044838
strain_sample_22-kraken2_refseqV205_100GB-0.35,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.40,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.45,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.50,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.55,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.60,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.65,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.70,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.75,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.80,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.85,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.90,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-0.95,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_22-kraken2_refseqV205_100GB-1.00,0,0,0,0,0,0,0,0,0,12355150,13.31347338,0,1,0,0,0,0,0,0,0,0,0
strain_sample_23-kraken2_refseqV205_100GB-0.00,0.935689123,0.764790127,0.004720162,0.384755144,0.76027333,0.7,0.730136665,0.762525039,0.009377093,5933926,96.53026617,5.896602841,0.237474961,0.236809244,0.775977229,2.565899249,3707.124764,0.473423124,0.222458113,0.001505001,2966,0.385951066
