Sample name	Number of taxa
strain_sample_27-kraken2_standard_0521-0.80	51
strain_sample_27-kraken2_standard_0521-0.70	60
strain_sample_27-kraken2_standard_0521-0.60	75
strain_sample_27-kraken2_standard_0521-0.85	45
strain_sample_27-kraken2_standard_0521-0.75	57
strain_sample_27-kraken2_standard_0521-0.45	97
strain_sample_27-kraken2_standard_0521-0.55	80
strain_sample_27-kraken2_standard_0521-0.95	31
strain_sample_27-kraken2_standard_0521-1.00	27
strain_sample_50-kraken2_standard_0521-0.40	99
strain_sample_50-kraken2_standard_0521-0.45	95
strain_sample_50-kraken2_standard_0521-0.35	110
strain_sample_50-kraken2_standard_0521-0.50	91
strain_sample_50-kraken2_standard_0521-0.30	131
strain_sample_50-kraken2_standard_0521-0.15	552
strain_sample_50-kraken2_standard_0521-0.25	216
strain_sample_50-kraken2_standard_0521-0.20	363
strain_sample_50-kraken2_standard_0521-0.10	834
strain_sample_50-kraken2_standard_0521-0.55	83
strain_sample_50-kraken2_standard_0521-0.05	1378
strain_sample_50-kraken2_standard_0521-0.00	3781
strain_sample_50-kraken2_standard_0521-0.95	24
strain_sample_50-kraken2_standard_0521-0.90	31
strain_sample_50-kraken2_standard_0521-0.85	35
strain_sample_50-kraken2_standard_0521-0.70	61
strain_sample_50-kraken2_standard_0521-0.75	54
strain_sample_50-kraken2_standard_0521-0.60	76
strain_sample_50-kraken2_standard_0521-0.65	67
strain_sample_50-kraken2_standard_0521-0.80	46
strain_sample_50-kraken2_standard_0521-1.00	18
strain_sample_0-kraken2_standard_0521-0.10	891
strain_sample_0-kraken2_standard_0521-0.05	1518
strain_sample_0-kraken2_standard_0521-0.00	4370
strain_sample_0-kraken2_standard_0521-0.30	171
strain_sample_0-kraken2_standard_0521-0.15	593
strain_sample_0-kraken2_standard_0521-0.50	109
strain_sample_0-kraken2_standard_0521-0.65	73
strain_sample_0-kraken2_standard_0521-0.70	63
strain_sample_0-kraken2_standard_0521-0.45	121
strain_sample_0-kraken2_standard_0521-0.35	154
strain_sample_0-kraken2_standard_0521-0.55	91
strain_sample_0-kraken2_standard_0521-0.60	81
strain_sample_0-kraken2_standard_0521-0.25	259
strain_sample_0-kraken2_standard_0521-0.20	381
strain_sample_0-kraken2_standard_0521-0.40	139
strain_sample_0-kraken2_standard_0521-0.90	37
strain_sample_0-kraken2_standard_0521-1.00	28
strain_sample_0-kraken2_standard_0521-0.85	42
strain_sample_0-kraken2_standard_0521-0.95	32
strain_sample_0-kraken2_standard_0521-0.80	48
strain_sample_0-kraken2_standard_0521-0.75	55
strain_sample_22-kraken2_standard_0521-0.05	1404
strain_sample_22-kraken2_standard_0521-0.20	375
