Sample name	Number of taxa
plant_sample_7-kraken2_refseqV205-0.10	6890
plant_sample_7-kraken2_refseqV205-0.00	31517
plant_sample_7-kraken2_refseqV205-0.40	750
plant_sample_7-kraken2_refseqV205-0.85	222
plant_sample_7-kraken2_refseqV205-0.80	254
plant_sample_7-kraken2_refseqV205-0.65	373
plant_sample_7-kraken2_refseqV205-0.60	421
plant_sample_7-kraken2_refseqV205-0.50	569
plant_sample_7-kraken2_refseqV205-0.55	491
plant_sample_7-kraken2_refseqV205-0.45	639
plant_sample_7-kraken2_refseqV205-0.75	297
plant_sample_7-kraken2_refseqV205-0.35	887
plant_sample_7-kraken2_refseqV205-0.30	1067
plant_sample_7-kraken2_refseqV205-0.70	338
plant_sample_7-kraken2_refseqV205-0.90	189
plant_sample_7-kraken2_refseqV205-1.00	116
plant_sample_7-kraken2_refseqV205-0.95	159
mouse_sample_8-kraken2_refseqV205-0.10	1448
mouse_sample_8-kraken2_refseqV205-0.05	3363
mouse_sample_8-kraken2_refseqV205-0.30	170
mouse_sample_8-kraken2_refseqV205-0.25	358
mouse_sample_8-kraken2_refseqV205-0.20	577
mouse_sample_8-kraken2_refseqV205-0.40	141
mouse_sample_8-kraken2_refseqV205-0.15	951
mouse_sample_8-kraken2_refseqV205-0.35	149
mouse_sample_8-kraken2_refseqV205-0.00	18521
mouse_sample_8-kraken2_refseqV205-0.50	127
mouse_sample_8-kraken2_refseqV205-0.45	133
mouse_sample_8-kraken2_refseqV205-0.70	100
mouse_sample_8-kraken2_refseqV205-0.55	120
mouse_sample_8-kraken2_refseqV205-0.60	112
mouse_sample_8-kraken2_refseqV205-0.65	106
mouse_sample_8-kraken2_refseqV205-0.75	97
mouse_sample_8-kraken2_refseqV205-0.80	93
mouse_sample_8-kraken2_refseqV205-0.85	88
mouse_sample_8-kraken2_refseqV205-1.00	69
mouse_sample_8-kraken2_refseqV205-0.95	75
mouse_sample_8-kraken2_refseqV205-0.90	85
strain_sample_16-kraken2_refseqV205-0.05	5949
strain_sample_16-kraken2_refseqV205-0.30	121
strain_sample_16-kraken2_refseqV205-0.20	836
strain_sample_16-kraken2_refseqV205-0.35	97
strain_sample_16-kraken2_refseqV205-0.40	80
strain_sample_16-kraken2_refseqV205-0.10	2481
strain_sample_16-kraken2_refseqV205-0.50	63
strain_sample_16-kraken2_refseqV205-0.15	1457
strain_sample_16-kraken2_refseqV205-0.55	58
strain_sample_16-kraken2_refseqV205-0.25	415
strain_sample_16-kraken2_refseqV205-0.45	69
strain_sample_16-kraken2_refseqV205-0.00	26252
strain_sample_16-kraken2_refseqV205-0.60	53
strain_sample_16-kraken2_refseqV205-0.65	49
strain_sample_16-kraken2_refseqV205-0.70	46
strain_sample_16-kraken2_refseqV205-0.75	41
strain_sample_16-kraken2_refseqV205-0.80	37
strain_sample_16-kraken2_refseqV205-0.85	31
strain_sample_16-kraken2_refseqV205-0.90	28
strain_sample_16-kraken2_refseqV205-1.00	17
mouse_sample_55-kraken2_refseqV205-0.05	3356
strain_sample_16-kraken2_refseqV205-0.95	22
mouse_sample_55-kraken2_refseqV205-0.10	1377
mouse_sample_55-kraken2_refseqV205-0.00	19829
mouse_sample_55-kraken2_refseqV205-0.30	304
mouse_sample_55-kraken2_refseqV205-0.35	276
mouse_sample_55-kraken2_refseqV205-0.40	257
mouse_sample_55-kraken2_refseqV205-0.25	454
mouse_sample_55-kraken2_refseqV205-0.20	679
mouse_sample_55-kraken2_refseqV205-0.15	972
mouse_sample_55-kraken2_refseqV205-0.45	235
mouse_sample_55-kraken2_refseqV205-0.60	206
mouse_sample_55-kraken2_refseqV205-0.55	214
mouse_sample_55-kraken2_refseqV205-0.50	225
mouse_sample_55-kraken2_refseqV205-0.70	190
mouse_sample_55-kraken2_refseqV205-0.65	195
mouse_sample_55-kraken2_refseqV205-1.00	140
mouse_sample_55-kraken2_refseqV205-0.95	151
mouse_sample_55-kraken2_refseqV205-0.75	180
mouse_sample_55-kraken2_refseqV205-0.85	163
mouse_sample_55-kraken2_refseqV205-0.90	157
mouse_sample_55-kraken2_refseqV205-0.80	173
strain_sample_80-kraken2_refseqV205-0.25	370
strain_sample_80-kraken2_refseqV205-0.10	2432
strain_sample_80-kraken2_refseqV205-0.20	799
strain_sample_80-kraken2_refseqV205-0.15	1432
strain_sample_80-kraken2_refseqV205-0.05	6094
strain_sample_80-kraken2_refseqV205-0.00	26694
strain_sample_80-kraken2_refseqV205-0.30	129
strain_sample_80-kraken2_refseqV205-0.35	92
strain_sample_80-kraken2_refseqV205-0.45	61
strain_sample_80-kraken2_refseqV205-0.55	47
strain_sample_80-kraken2_refseqV205-0.40	74
strain_sample_80-kraken2_refseqV205-0.75	31
strain_sample_80-kraken2_refseqV205-0.50	53
strain_sample_80-kraken2_refseqV205-0.60	45
strain_sample_80-kraken2_refseqV205-0.65	42
strain_sample_80-kraken2_refseqV205-0.70	35
strain_sample_80-kraken2_refseqV205-0.80	28
strain_sample_80-kraken2_refseqV205-0.85	28
strain_sample_80-kraken2_refseqV205-1.00	14
strain_sample_80-kraken2_refseqV205-0.95	20
strain_sample_80-kraken2_refseqV205-0.90	23
strain_sample_73-kraken2_refseqV205-0.25	420
strain_sample_73-kraken2_refseqV205-0.30	124
strain_sample_73-kraken2_refseqV205-0.20	858
strain_sample_73-kraken2_refseqV205-0.40	79
strain_sample_73-kraken2_refseqV205-0.35	97
strain_sample_73-kraken2_refseqV205-0.15	1466
strain_sample_73-kraken2_refseqV205-0.10	2461
strain_sample_73-kraken2_refseqV205-0.05	5958
strain_sample_73-kraken2_refseqV205-0.00	26113
strain_sample_73-kraken2_refseqV205-0.45	72
strain_sample_73-kraken2_refseqV205-0.50	66
strain_sample_73-kraken2_refseqV205-0.55	58
strain_sample_73-kraken2_refseqV205-0.60	52
strain_sample_73-kraken2_refseqV205-1.00	15
strain_sample_73-kraken2_refseqV205-0.95	21
strain_sample_73-kraken2_refseqV205-0.90	27
strain_sample_73-kraken2_refseqV205-0.65	43
strain_sample_73-kraken2_refseqV205-0.75	36
strain_sample_73-kraken2_refseqV205-0.70	39
strain_sample_73-kraken2_refseqV205-0.80	30
strain_sample_73-kraken2_refseqV205-0.85	27
mouse_sample_30-kraken2_refseqV205-0.15	1358
mouse_sample_30-kraken2_refseqV205-0.20	909
mouse_sample_30-kraken2_refseqV205-0.10	1998
mouse_sample_30-kraken2_refseqV205-0.45	308
mouse_sample_30-kraken2_refseqV205-0.35	370
mouse_sample_30-kraken2_refseqV205-0.50	290
mouse_sample_30-kraken2_refseqV205-0.30	406
mouse_sample_30-kraken2_refseqV205-0.55	271
mouse_sample_30-kraken2_refseqV205-0.25	607
mouse_sample_30-kraken2_refseqV205-0.40	339
mouse_sample_30-kraken2_refseqV205-0.05	4973
mouse_sample_30-kraken2_refseqV205-0.00	24796
mouse_sample_30-kraken2_refseqV205-0.75	230
mouse_sample_30-kraken2_refseqV205-0.80	221
mouse_sample_30-kraken2_refseqV205-0.90	205
mouse_sample_30-kraken2_refseqV205-0.65	250
mouse_sample_30-kraken2_refseqV205-0.95	191
mouse_sample_30-kraken2_refseqV205-1.00	174
mouse_sample_30-kraken2_refseqV205-0.70	240
mouse_sample_30-kraken2_refseqV205-0.85	216
mouse_sample_30-kraken2_refseqV205-0.60	263
strain_sample_78-kraken2_refseqV205-0.05	5829
strain_sample_78-kraken2_refseqV205-0.10	2369
strain_sample_78-kraken2_refseqV205-0.00	26526
strain_sample_78-kraken2_refseqV205-0.60	51
strain_sample_78-kraken2_refseqV205-0.55	55
strain_sample_78-kraken2_refseqV205-0.50	61
strain_sample_78-kraken2_refseqV205-0.65	41
strain_sample_78-kraken2_refseqV205-0.20	795
strain_sample_78-kraken2_refseqV205-0.70	37
strain_sample_78-kraken2_refseqV205-0.15	1412
strain_sample_78-kraken2_refseqV205-0.35	96
strain_sample_78-kraken2_refseqV205-0.45	67
strain_sample_78-kraken2_refseqV205-0.40	83
strain_sample_78-kraken2_refseqV205-0.30	122
strain_sample_78-kraken2_refseqV205-0.25	411
strain_sample_78-kraken2_refseqV205-0.75	32
strain_sample_78-kraken2_refseqV205-0.80	25
strain_sample_78-kraken2_refseqV205-0.85	23
strain_sample_78-kraken2_refseqV205-0.90	23
strain_sample_79-kraken2_refseqV205-0.20	798
strain_sample_78-kraken2_refseqV205-1.00	12
strain_sample_79-kraken2_refseqV205-0.25	424
strain_sample_78-kraken2_refseqV205-0.95	16
strain_sample_79-kraken2_refseqV205-0.10	2404
strain_sample_79-kraken2_refseqV205-0.05	5744
strain_sample_79-kraken2_refseqV205-0.15	1415
strain_sample_79-kraken2_refseqV205-0.00	26217
strain_sample_79-kraken2_refseqV205-0.50	61
strain_sample_79-kraken2_refseqV205-0.45	72
strain_sample_79-kraken2_refseqV205-0.40	88
strain_sample_79-kraken2_refseqV205-0.35	102
strain_sample_79-kraken2_refseqV205-0.65	44
strain_sample_79-kraken2_refseqV205-0.55	54
strain_sample_79-kraken2_refseqV205-0.30	137
strain_sample_79-kraken2_refseqV205-0.60	50
