Sample name	Pielou evenness
strain_sample_81-kraken2_minikraken-0.05	0.31104752281426457
strain_sample_81-kraken2_minikraken-0.10	0.35954720731749834
strain_sample_81-kraken2_minikraken-0.00	0.2586901923948207
strain_sample_81-kraken2_minikraken-0.30	0.527728681445018
strain_sample_81-kraken2_minikraken-0.15	0.39998288155000217
strain_sample_81-kraken2_minikraken-0.45	0.7244909191862435
strain_sample_81-kraken2_minikraken-0.20	0.42643723237734676
strain_sample_81-kraken2_minikraken-0.65	nan
strain_sample_81-kraken2_minikraken-0.50	0.8787922407748155
strain_sample_81-kraken2_minikraken-0.60	nan
strain_sample_81-kraken2_minikraken-0.40	0.699301139247378
strain_sample_81-kraken2_minikraken-0.35	0.5873078106899301
strain_sample_81-kraken2_minikraken-0.25	0.45040943272828315
strain_sample_81-kraken2_minikraken-0.70	nan
strain_sample_81-kraken2_minikraken-0.55	nan
strain_sample_81-kraken2_minikraken-0.95	nan
mouse_sample_31-kraken2_minikraken-0.25	0.5594322829450824
strain_sample_81-kraken2_minikraken-1.00	nan
strain_sample_81-kraken2_minikraken-0.75	nan
strain_sample_81-kraken2_minikraken-0.90	nan
mouse_sample_31-kraken2_minikraken-0.15	0.5287536948992748
strain_sample_81-kraken2_minikraken-0.85	nan
mouse_sample_31-kraken2_minikraken-0.20	0.5449403804700452
mouse_sample_31-kraken2_minikraken-0.10	0.4989663545463964
strain_sample_81-kraken2_minikraken-0.80	nan
mouse_sample_31-kraken2_minikraken-0.00	0.36511486185235953
mouse_sample_31-kraken2_minikraken-0.05	0.4161311600067758
mouse_sample_31-kraken2_minikraken-0.45	0.6467730422143712
mouse_sample_31-kraken2_minikraken-0.30	0.5787788317108269
mouse_sample_31-kraken2_minikraken-0.65	nan
mouse_sample_31-kraken2_minikraken-0.80	nan
mouse_sample_31-kraken2_minikraken-0.85	nan
mouse_sample_31-kraken2_minikraken-0.75	nan
mouse_sample_31-kraken2_minikraken-0.35	0.6142537489560433
mouse_sample_31-kraken2_minikraken-0.70	nan
mouse_sample_31-kraken2_minikraken-0.50	0.6894634757957256
mouse_sample_31-kraken2_minikraken-0.60	0.8596610491977074
mouse_sample_31-kraken2_minikraken-0.40	0.6419702483048598
mouse_sample_31-kraken2_minikraken-0.55	0.8294367856020645
strain_sample_79-kraken2_minikraken-0.40	0.5135149371313105
mouse_sample_31-kraken2_minikraken-0.95	nan
strain_sample_79-kraken2_minikraken-0.25	0.36831738189205687
mouse_sample_31-kraken2_minikraken-0.90	nan
strain_sample_79-kraken2_minikraken-0.20	0.3400455864308321
