Sample name	Precision taxa
mouse_sample_25-kraken2_refseqV205_100GB-0.35	0.6
mouse_sample_25-kraken2_refseqV205_100GB-0.70	0
mouse_sample_25-kraken2_refseqV205_100GB-0.85	0
mouse_sample_25-kraken2_refseqV205_100GB-0.65	0
mouse_sample_25-kraken2_refseqV205_100GB-0.60	0
mouse_sample_25-kraken2_refseqV205_100GB-0.75	0
mouse_sample_25-kraken2_refseqV205_100GB-0.80	0
mouse_sample_25-kraken2_refseqV205_100GB-0.90	0
mouse_sample_25-kraken2_refseqV205_100GB-1.00	0
mouse_sample_25-kraken2_refseqV205_100GB-0.95	0
plant_sample_5-kraken2_refseqV205_100GB-0.10	0.4921875
plant_sample_5-kraken2_refseqV205_100GB-0.05	0.08796895213454076
plant_sample_5-kraken2_refseqV205_100GB-0.00	0.035183737294761534
plant_sample_5-kraken2_refseqV205_100GB-0.15	0.8055555555555556
plant_sample_5-kraken2_refseqV205_100GB-0.40	0
plant_sample_5-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_5-kraken2_refseqV205_100GB-0.30	1.0
plant_sample_5-kraken2_refseqV205_100GB-0.25	0.9534883720930233
plant_sample_5-kraken2_refseqV205_100GB-0.20	0.9090909090909091
plant_sample_5-kraken2_refseqV205_100GB-0.70	0
plant_sample_5-kraken2_refseqV205_100GB-0.55	0
plant_sample_5-kraken2_refseqV205_100GB-0.50	0
plant_sample_5-kraken2_refseqV205_100GB-0.45	0
plant_sample_5-kraken2_refseqV205_100GB-0.65	0
plant_sample_5-kraken2_refseqV205_100GB-0.60	0
plant_sample_5-kraken2_refseqV205_100GB-0.80	0
plant_sample_5-kraken2_refseqV205_100GB-0.95	0
plant_sample_5-kraken2_refseqV205_100GB-0.75	0
plant_sample_5-kraken2_refseqV205_100GB-0.90	0
plant_sample_5-kraken2_refseqV205_100GB-1.00	0
plant_sample_5-kraken2_refseqV205_100GB-0.85	0
strain_sample_85-kraken2_refseqV205_100GB-0.10	0.4666666666666667
strain_sample_85-kraken2_refseqV205_100GB-0.15	0.7368421052631579
strain_sample_85-kraken2_refseqV205_100GB-0.20	0.8666666666666667
strain_sample_85-kraken2_refseqV205_100GB-0.25	0.8181818181818182
strain_sample_85-kraken2_refseqV205_100GB-0.05	0.04590163934426229
strain_sample_85-kraken2_refseqV205_100GB-0.00	0.011639185257032008
strain_sample_85-kraken2_refseqV205_100GB-0.55	0
strain_sample_85-kraken2_refseqV205_100GB-0.35	0
strain_sample_85-kraken2_refseqV205_100GB-0.40	0
strain_sample_85-kraken2_refseqV205_100GB-0.45	0
strain_sample_85-kraken2_refseqV205_100GB-0.50	0
strain_sample_85-kraken2_refseqV205_100GB-0.30	0.8333333333333334
strain_sample_85-kraken2_refseqV205_100GB-0.70	0
strain_sample_85-kraken2_refseqV205_100GB-0.60	0
strain_sample_85-kraken2_refseqV205_100GB-0.65	0
strain_sample_85-kraken2_refseqV205_100GB-0.75	0
strain_sample_85-kraken2_refseqV205_100GB-0.80	0
strain_sample_85-kraken2_refseqV205_100GB-0.85	0
strain_sample_85-kraken2_refseqV205_100GB-0.90	0
strain_sample_85-kraken2_refseqV205_100GB-0.95	0
strain_sample_85-kraken2_refseqV205_100GB-1.00	0
plant_sample_13-kraken2_refseqV205_100GB-0.10	0.5220588235294118
plant_sample_13-kraken2_refseqV205_100GB-0.05	0.09857328145265888
plant_sample_13-kraken2_refseqV205_100GB-0.00	0.040625
plant_sample_13-kraken2_refseqV205_100GB-0.35	1.0
plant_sample_13-kraken2_refseqV205_100GB-0.40	0
plant_sample_13-kraken2_refseqV205_100GB-0.15	0.7901234567901234
plant_sample_13-kraken2_refseqV205_100GB-0.30	0.9444444444444444
plant_sample_13-kraken2_refseqV205_100GB-0.25	0.9736842105263158
plant_sample_13-kraken2_refseqV205_100GB-0.20	0.8771929824561403
plant_sample_13-kraken2_refseqV205_100GB-0.55	0
plant_sample_13-kraken2_refseqV205_100GB-0.45	0
plant_sample_13-kraken2_refseqV205_100GB-0.60	0
plant_sample_13-kraken2_refseqV205_100GB-0.50	0
plant_sample_13-kraken2_refseqV205_100GB-0.65	0
plant_sample_13-kraken2_refseqV205_100GB-0.70	0
plant_sample_13-kraken2_refseqV205_100GB-0.95	0
plant_sample_13-kraken2_refseqV205_100GB-0.90	0
plant_sample_13-kraken2_refseqV205_100GB-0.75	0
plant_sample_13-kraken2_refseqV205_100GB-0.80	0
plant_sample_13-kraken2_refseqV205_100GB-0.85	0
plant_sample_13-kraken2_refseqV205_100GB-1.00	0
strain_sample_34-kraken2_refseqV205_100GB-0.10	0.3888888888888889
strain_sample_34-kraken2_refseqV205_100GB-0.25	0.9090909090909091
strain_sample_34-kraken2_refseqV205_100GB-0.15	0.7
strain_sample_34-kraken2_refseqV205_100GB-0.20	0.9333333333333333
strain_sample_34-kraken2_refseqV205_100GB-0.05	0.04895104895104895
strain_sample_34-kraken2_refseqV205_100GB-0.00	0.0125
strain_sample_34-kraken2_refseqV205_100GB-0.30	0.8
strain_sample_34-kraken2_refseqV205_100GB-0.50	0
strain_sample_34-kraken2_refseqV205_100GB-0.40	0
strain_sample_34-kraken2_refseqV205_100GB-0.45	0
strain_sample_34-kraken2_refseqV205_100GB-0.55	0
strain_sample_34-kraken2_refseqV205_100GB-0.35	1.0
strain_sample_34-kraken2_refseqV205_100GB-0.80	0
strain_sample_34-kraken2_refseqV205_100GB-0.60	0
strain_sample_34-kraken2_refseqV205_100GB-0.65	0
strain_sample_34-kraken2_refseqV205_100GB-0.70	0
strain_sample_34-kraken2_refseqV205_100GB-0.75	0
strain_sample_34-kraken2_refseqV205_100GB-0.85	0
strain_sample_34-kraken2_refseqV205_100GB-1.00	0
strain_sample_34-kraken2_refseqV205_100GB-0.95	0
strain_sample_34-kraken2_refseqV205_100GB-0.90	0
