Sample name	Faith's phylogenetic diversity
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.40	121.5
Huttenhower_LC2-kraken2_chocophlan-0.70	228.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.05	3276.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.95	57.5
Huttenhower_LC2-kraken2_chocophlan-0.40	359.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.00	10484.0
Huttenhower_LC2-kraken2_chocophlan-0.75	225.5
Huttenhower_LC2-kraken2_chocophlan-0.65	246.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.65	73.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.45	113.5
Huttenhower_LC2-kraken2_chocophlan-0.95	170.5
Huttenhower_LC2-kraken2_chocophlan-0.50	304.5
Huttenhower_LC2-kraken2_chocophlan-0.35	415.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.60	88.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.90	58.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.15	388.5
Huttenhower_LC2-kraken2_chocophlan-0.90	193.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.55	93.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.00	4088.5
UnAmbiguouslyMapped_ds.hous2-kraken2_chocophlan-0.10	731.5
Huttenhower_LC2-kraken2_chocophlan-0.45	329.5
Huttenhower_LC2-kraken2_chocophlan-0.85	208.5
Huttenhower_LC2-kraken2_chocophlan-1.00	146.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.30	1894.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.75	1315.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-1.00	1218.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.80	1360.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.25	2048.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.65	1383.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.85	1245.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.35	1762.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.55	1487.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-1.00	1124.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.00	10636.0
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.60	1550.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.00	10457.0
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.50	1548.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.85	1322.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.65	1488.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.55	1612.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.90	1282.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.05	5940.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.35	1934.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.70	1433.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.75	1406.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.10	3529.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.15	2610.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.95	1165.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.40	1826.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.95	1264.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.40	1685.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.45	1748.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.60	1423.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.45	1605.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.70	1351.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.90	1204.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.20	2265.5
ani97_cHIGH_stFalse_r3-kraken2_chocophlan-0.80	1286.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.30	2045.5
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.25	2229.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.10	3735.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.05	6466.0
ani99_cHIGH_stFalse_r7-kraken2_chocophlan-0.50	1687.5
RM2_S002__insert_270-kraken2_chocophlan-0.30	1100.5
RM2_S002__insert_270-kraken2_chocophlan-0.25	1558.5
RM2_S002__insert_270-kraken2_chocophlan-0.95	397.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.50	1558.5
RM2_S002__insert_270-kraken2_chocophlan-0.05	10008.0
RM2_S002__insert_270-kraken2_chocophlan-0.35	980.5
RM2_S002__insert_270-kraken2_chocophlan-0.50	727.5
RM2_S002__insert_270-kraken2_chocophlan-1.00	363.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.90	1182.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.75	1298.5
RM2_S002__insert_270-kraken2_chocophlan-0.45	779.5
RM2_S002__insert_270-kraken2_chocophlan-0.70	536.5
RM2_S002__insert_270-kraken2_chocophlan-0.15	3988.5
RM2_S002__insert_270-kraken2_chocophlan-0.80	477.5
ani95_cLOW_stTrue_r5-kraken2_chocophlan-0.00	9494.0
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.80	1260.5
RM2_S002__insert_270-kraken2_chocophlan-0.55	672.5
RM2_S002__insert_270-kraken2_chocophlan-0.65	570.5
RM2_S002__insert_270-kraken2_chocophlan-0.75	506.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.45	1598.5
ani97_cHIGH_stFalse_r8-kraken2_chocophlan-0.65	1396.5
