Sample name	L1 distance
strain_sample_73-kraken2_refseqV205-0.65	8303357.0
strain_sample_73-kraken2_refseqV205-0.95	12474518.0
strain_sample_73-kraken2_refseqV205-0.45	6799151.0
strain_sample_73-kraken2_refseqV205-0.75	10068380.0
strain_sample_73-kraken2_refseqV205-0.85	11645859.0
strain_sample_73-kraken2_refseqV205-1.00	12719753.0
strain_sample_73-kraken2_refseqV205-0.80	10959645.0
strain_sample_73-kraken2_refseqV205-0.90	12114791.0
mouse_sample_30-kraken2_refseqV205-0.50	19867845.0
mouse_sample_30-kraken2_refseqV205-0.55	21795964.0
mouse_sample_30-kraken2_refseqV205-0.40	16375965.0
mouse_sample_30-kraken2_refseqV205-0.25	12977902.0
mouse_sample_30-kraken2_refseqV205-0.20	12667035.0
mouse_sample_30-kraken2_refseqV205-0.30	13602219.0
mouse_sample_30-kraken2_refseqV205-0.15	12421353.0
mouse_sample_30-kraken2_refseqV205-0.45	18266970.0
mouse_sample_30-kraken2_refseqV205-0.35	14575559.0
mouse_sample_30-kraken2_refseqV205-0.10	12308467.0
mouse_sample_30-kraken2_refseqV205-0.05	12475988.0
mouse_sample_30-kraken2_refseqV205-0.00	13434474.0
mouse_sample_30-kraken2_refseqV205-0.75	29617196.0
mouse_sample_30-kraken2_refseqV205-0.80	30663325.0
mouse_sample_30-kraken2_refseqV205-1.00	32793931.0
mouse_sample_30-kraken2_refseqV205-0.60	23672186.0
mouse_sample_30-kraken2_refseqV205-0.70	28655258.0
mouse_sample_30-kraken2_refseqV205-0.90	31973381.0
mouse_sample_30-kraken2_refseqV205-0.65	25602227.0
mouse_sample_30-kraken2_refseqV205-0.85	31437738.0
mouse_sample_30-kraken2_refseqV205-0.95	32446078.0
strain_sample_78-kraken2_refseqV205-0.10	7653788.0
strain_sample_78-kraken2_refseqV205-0.05	7589852.0
strain_sample_78-kraken2_refseqV205-0.00	7747877.0
strain_sample_78-kraken2_refseqV205-0.50	5831535.0
strain_sample_78-kraken2_refseqV205-0.45	5853492.0
strain_sample_78-kraken2_refseqV205-0.55	5756248.0
strain_sample_78-kraken2_refseqV205-0.65	7850590.0
strain_sample_78-kraken2_refseqV205-0.40	5847580.0
strain_sample_78-kraken2_refseqV205-0.35	5969830.0
strain_sample_78-kraken2_refseqV205-0.60	6788111.0
strain_sample_78-kraken2_refseqV205-0.70	8880057.0
strain_sample_78-kraken2_refseqV205-0.30	5958133.0
strain_sample_78-kraken2_refseqV205-0.25	6531328.0
strain_sample_78-kraken2_refseqV205-0.20	7094125.0
strain_sample_78-kraken2_refseqV205-0.15	7515614.0
strain_sample_78-kraken2_refseqV205-0.90	11937015.0
strain_sample_78-kraken2_refseqV205-0.85	11425393.0
strain_sample_78-kraken2_refseqV205-0.75	9727182.0
strain_sample_78-kraken2_refseqV205-0.95	12329422.0
strain_sample_78-kraken2_refseqV205-0.80	10687556.0
strain_sample_78-kraken2_refseqV205-1.00	12597019.0
strain_sample_79-kraken2_refseqV205-0.25	8881407.0
strain_sample_79-kraken2_refseqV205-0.20	9362582.0
strain_sample_79-kraken2_refseqV205-0.15	9817115.0
strain_sample_79-kraken2_refseqV205-0.10	9753058.0
strain_sample_79-kraken2_refseqV205-0.05	10022626.0
strain_sample_79-kraken2_refseqV205-0.00	10248819.0
strain_sample_79-kraken2_refseqV205-0.60	8565237.0
strain_sample_79-kraken2_refseqV205-0.70	9809862.0
strain_sample_79-kraken2_refseqV205-0.40	7903790.0
strain_sample_79-kraken2_refseqV205-0.30	8142209.0
strain_sample_79-kraken2_refseqV205-0.55	8344550.0
strain_sample_79-kraken2_refseqV205-0.50	8158160.0
strain_sample_79-kraken2_refseqV205-0.65	9040447.0
strain_sample_79-kraken2_refseqV205-0.45	8050668.0
strain_sample_79-kraken2_refseqV205-0.35	7997473.0
