File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_standard_ani95_cLOW_stTrue_r5.fastq.bowtie2out_0.95,0.04,0.00,0:00.03,7604, 12 ,152%
kraken2_standard_ani95_cLOW_stFalse_r6_0.70,329.65,12.03,0:29.52,53106804, 12 ,1157%
kraken2_standard_UnAmbiguouslyMapped_ds.soil.fastq.bowtie2out_0.75,0.05,0.00,0:00.03,6748, 12 ,148%
kraken2_standard_JGI_SRR033549_0.95,20.71,4.56,0:03.05,52801852, 12 ,827%
kraken2_standard_RM1_S002__insert_5000_0.45,769.50,23.32,1:07.24,52973164, 12 ,1179%
kraken2_standard_Mavromatis_simHC_0.00,18.82,4.72,0:03.30,52792804, 12 ,713%
kraken2_standard_ani100_cLOW_stFalse_r8_0.95,352.68,12.05,0:31.46,53086460, 12 ,1159%
kraken2_standard_ani97_cLOW_stFalse_r0.fastq.bowtie2out_0.50,0.04,0.01,0:00.03,7560, 12 ,152%
kraken2_standard_ani95_cLOW_stTrue_r1.fastq.bowtie2out_0.90,0.05,0.00,0:00.03,7516, 12 ,163%
kraken2_standard_ani99_cHIGH_stTrue_r4_0.25,337.09,11.49,0:30.10,53152136, 12 ,1157%
kraken2_standard_ani100_cLOW_stTrue_r5.fastq.bowtie2out_0.70,0.04,0.01,0:00.03,7528, 12 ,158%
kraken2_standard_ani99_cLOW_stFalse_r3_0.65,317.23,11.76,0:28.45,53130836, 12 ,1156%
kraken2_standard_RH_S003__insert_270.fasta.bowtie2out_0.95,0.06,0.00,0:00.03,7532, 12 ,181%
kraken2_standard_ani99_cLOW_stTrue_r7_0.40,296.08,10.91,0:26.58,53128608, 12 ,1154%
kraken2_standard_ani97_cLOW_stFalse_r4.fastq.bowtie2out_0.55,0.04,0.00,0:00.03,7508, 12 ,163%
kraken2_standard_ani97_cHIGH_stTrue_r9.fastq.bowtie2out_0.40,0.09,0.00,0:00.04,7524, 12 ,217%
kraken2_standard_ani99_cHIGH_stTrue_r6_1.00,318.09,11.11,0:28.48,53092840, 12 ,1155%
kraken2_standard_ani100_cLOW_stTrue_r9_1.00,294.86,12.94,0:26.71,53114008, 12 ,1152%
kraken2_standard_ani99_cHIGH_stTrue_r6.fastq.bowtie2out_0.80,0.02,0.04,0:00.03,7536, 12 ,181%
kraken2_standard_RH_S001__insert_270_0.25,2414.51,36.95,3:25.57,53296236, 12 ,1192%
kraken2_standard_ani97_cLOW_stFalse_r7.fastq.bowtie2out_0.15,0.05,0.00,0:00.03,7548, 12 ,154%
kraken2_standard_MGRG_nanopore_b4.pass.2d.fastq.bowtie2out_0.25,0.03,0.00,0:00.03,6824, 12 ,116%
kraken2_standard_ani100_cLOW_stTrue_r6.fastq.bowtie2out_0.30,0.06,0.00,0:00.03,7532, 12 ,183%
kraken2_standard_RL_S001__insert_270_0.20,2483.12,41.78,3:31.74,53200008, 12 ,1192%
kraken2_standard_ani97_cLOW_stFalse_r3.fastq.bowtie2out_0.10,0.04,0.01,0:00.03,7520, 12 ,170%
kraken2_standard_ABRF_MGRG_Normal_0.85,63.41,6.44,0:06.87,52870908, 12 ,1016%
