Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,Mean F1 score,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.90,0.7243989,0.630145724,0.384615385,0.456476869,1,0.529433032,0.555555556,0.542494294,2010895,14.82328484,2.418959333,30472943.61,439,0.462809917,0.029850746,0.470566968,0.445945253,0.757729002,2.287060668,60.5,13,0.492213609,0.618051054,0.317508399
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_0.95,0.7243989,0.630145724,0.384615385,0.456476869,1,0.529433032,0.555555556,0.542494294,2010895,14.82328484,2.418959333,30472943.61,439,0.462809917,0.029850746,0.470566968,0.445945253,0.757729002,2.287060668,60.5,13,0.492213609,0.618051054,0.317508399
ABRF_MGRG_5ng-kraken2_refseqV205-0.00_filtered_1.00,0.724391637,0.630152042,0.454545455,0.456476869,1,0.529435262,0.625,0.577217631,2010877,14.72651651,2.418959333,30472943.63,439,0.368932039,0.029850746,0.470564738,0.445941703,0.757724143,2.286894967,51.5,11,0.492217996,0.661060896,0.375229675
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.05,0.81906107,0.517145136,0.002053388,0.423573449,1,0.465705584,0.004098361,0.234901972,2735433,89.38658408,3.227805942,34617959.3,477,0.993993717,0.197530864,0.534294416,0.5270369,0.802362076,3.401247704,5411,2758.685841,0.445034765,0.302341029,0.002077929
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.10,0.811468904,0.521983587,0.004019293,0.423573449,1,0.467657433,0.008006405,0.237831919,2714065,69.49479314,3.227805942,34617942.36,477,0.989669421,0.197530864,0.532342567,0.524483036,0.798647201,3.277173402,3146,1323.78022,0.448967874,0.318767287,0.003992289
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.15,0.79461428,0.53305542,0.006963788,0.423573449,1,0.472049569,0.013831259,0.242940414,2666628,55.63539573,3.227805942,34617888.49,464.5,0.983485772,0.197530864,0.527950431,0.518639025,0.790044328,3.07967312,1968,735.2,0.45835615,0.324591594,0.00663358
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.20,0.785931327,0.538944605,0.01059322,0.423573449,1,0.474344609,0.020964361,0.247654485,2642190,48.44722369,3.227805942,34617839.7,457,0.976346434,0.197530864,0.525655391,0.515530554,0.785397158,2.971314192,1374,477.25,0.463351122,0.334507891,0.009872395
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.25,0.763351667,0.554886387,0.015673981,0.423573449,1,0.480418576,0.030864198,0.255641387,2578640,41.65097739,3.227805942,34617816.61,467.5,0.96756487,0.133333333,0.519581424,0.507116054,0.772926219,2.792024054,1002,321.1153846,0.476593135,0.335684207,0.013805188
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.30,0.75636956,0.560008587,0.025252525,0.423573449,1,0.482328387,0.049261084,0.265794736,2558989,36.73481744,3.227805942,34617767.86,467.5,0.947749196,0.133333333,0.517671613,0.504412419,0.768731276,2.707513692,622,198.3157895,0.480948577,0.354880998,0.021838254
ABRF_MGRG_Half-kraken2_refseqV205-0.00_filtered_0.35,0.750324039,0.564520696,0.033333333,0.423573449,1,0.483994323,0.064516129,0.274255226,2541974,33.27054163,3.227805942,34617751.06,454.5,0.932712215,0.133333333,0.516005677,0.502030806,0.765002262,2.635191125,483,150,0.484799858,0.364539662,0.028369067
